stock,sector,sub_sector,market_cap,beta
T,Communication Services,Telecom Services,168677605376,0.6
TDY,Technology,Scientific & Technical Instruments,28671088640,1.027
TAP,Consumer Defensive,Beverages - Brewers,9759248384,0.451
TDG,Industrials,Aerospace & Defense,80116588544,0.917
TEL,Technology,Electronic Components,65851318272,1.242
TECH,Healthcare,Biotechnology,10620194816,1.469
TER,Technology,Semiconductor Equipment & Materials,36456472576,1.835
TFC,Financial Services,Banks - Regional,63412240384,0.874
TGT,Consumer Defensive,Discount Stores,49120546816,1.124
TJX,Consumer Cyclical,Apparel Retail,170546741248,0.752
TKO,Communication Services,Entertainment,16830669824,0.225
TMUS,Communication Services,Telecom Services,209361698816,0.44
TMO,Healthcare,Diagnostics & Research,235185733632,0.91
TPL,Energy,Oil & Gas E&P,23917430784,0.935
TPR,Consumer Cyclical,Luxury Goods,26918993920,1.643
TRGP,Energy,Oil & Gas Midstream,41209241600,0.874
TRMB,Technology,Scientific & Technical Instruments,16941020160,1.589
TROW,Financial Services,Asset Management,23208521728,1.532
TSCO,Consumer Cyclical,Specialty Retail,28898392064,0.737
TRV,Financial Services,Insurance - Property & Casualty,61949173760,0.531
TSLA,Consumer Cyclical,Auto Manufacturers,1493492301824,1.835
TSN,Consumer Defensive,Farm Products,21769486336,0.467
TT,Industrials,Building Products & Equipment,85939879936,1.216
TTD,Communication Services,Advertising Agencies,17870862336,1.105
TTWO,Communication Services,Electronic Gaming & Multimedia,45405700096,0.925
TXN,Technology,Semiconductors,175745302528,0.988
TXT,Industrials,Aerospace & Defense,16929503232,1.001
TYL,Technology,Software - Application,18808506368,0.916
UAL,Industrials,Airlines,34879528960,1.318
UBER,Technology,Software - Application,171650809856,1.203
UDR,Real Estate,REIT - Residential,14201167872,0.712
UHS,Healthcare,Medical Care Facilities,13051659264,1.284
ULTA,Consumer Cyclical,Specialty Retail,30764498944,0.853
UNH,Healthcare,Healthcare Plans,322714075136,0.425
UNP,Industrials,Railroads,136219394048,0.997
UPS,Industrials,Integrated Freight & Logistics,91608678400,1.097
URI,Industrials,Rental & Leasing Services,59131518976,1.69
USB,Financial Services,Banks - Regional,86255853568,1.09
V,Financial Services,Credit Services,629493858304,0.815
VLO,Energy,Oil & Gas Refining & Marketing,58119835648,0.767
VICI,Real Estate,REIT - Diversified,30503878656,0.72
VLTO,Industrials,Pollution & Treatment Controls,25155002368,1.109
VMC,Basic Materials,Building Materials,39648522240,1.064
VRSK,Industrials,Consulting Services,30463453184,0.809
VRTX,Healthcare,Biotechnology,120095948800,0.314
VST,Utilities,Utilities - Independent Power Producers,54252736512,1.418
VRSN,Technology,Software - Infrastructure,23408193536,0.77
VTR,Real Estate,REIT - Healthcare Facilities,36164730880,0.8
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,15250511872,0.792
VZ,Communication Services,Telecom Services,166633144320,0.327
WBD,Communication Services,Entertainment,70863732736,1.572
WAB,Industrials,Railroads,39338958848,1.004
WAT,Healthcare,Diagnostics & Research,23361150976,1.164
WDAY,Technology,Software - Application,50532417536,1.142
WDC,Technology,Computer Hardware,81033428992,1.845
WELL,Real Estate,REIT - Healthcare Facilities,126064730112,0.857
WEC,Utilities,Utilities - Regulated Electric,35489599488,0.573
WM,Industrials,Waste Management,92349210624,0.594
WFC,Financial Services,Banks - Diversified,272974790656,1.088
WRB,Financial Services,Insurance - Property & Casualty,25507022848,0.388
WMT,Consumer Defensive,Discount Stores,938643816448,0.661
WMB,Energy,Oil & Gas Midstream,79330369536,0.658
WSM,Consumer Cyclical,Specialty Retail,24413356032,1.582
WST,Healthcare,Medical Instruments & Supplies,17026126848,1.167
WTW,Financial Services,Insurance Brokers,31489466368,0.635
WY,Real Estate,REIT - Specialty,19242698752,1.05
WYNN,Consumer Cyclical,Resorts & Casinos,11806534656,1.078
XEL,Utilities,Utilities - Regulated Electric,44371398656,0.469
XOM,Energy,Oil & Gas Integrated,575410470912,0.365
XYL,Industrials,Specialty Industrial Machinery,34385133568,1.172
XYZ,Technology,Software - Infrastructure,40738500608,2.665
YUM,Consumer Cyclical,Restaurants,42472554496,0.669
ZBH,Healthcare,Medical Devices,17162521600,0.614
ZBRA,Technology,Communication Equipment,12230292480,1.683
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,54976913408,0.97
FISV,,,36725153792,
SNDK,Technology,Computer Hardware,69441290240,
Q,Technology,Semiconductor Equipment & Materials,20131508224,
SOLV,Healthcare,Medical Instruments & Supplies,13686747136,
GEV,Industrials,Specialty Industrial Machinery,179063472128,
